,Name,IATA,Latitude,Longitude
261,Akanu Ibiam International Airport,ENU,6.4742698669433585,7.561960220336914
262,Gusau Airport,\N,12.1717,6.696110000000001
263,Ibadan Airport,IBA,7.362460136413574,3.97832989692688
264,Ilorin International Airport,ILR,8.440210342407228,4.493919849395752
265,Yakubu Gowon Airport,JOS,9.639829635620117,8.869050025939941
266,Kaduna Airport,KAD,10.696000099182127,7.320109844207764
267,Mallam Aminu International Airport,KAN,12.0476,8.52462
268,Maiduguri International Airport,MIU,11.855299949645994,13.080900192260742
269,Makurdi Airport,MDI,7.703880000000001,8.61394
270,Murtala Muhammed International Airport,LOS,6.5773701667785645,3.321160078048706
271,Minna Airport,MXJ,9.652170181274414,6.462259769439697
272,Port Harcourt International Airport,PHC,5.0154900550842285,6.94959020614624
273,Sadiq Abubakar III International Airport,SKO,12.916299819946287,5.207190036773682
274,Yola Airport,YOL,9.257550239562988,12.430399894714355
275,Zaria Airport,ZAR,11.1302,7.685810000000001
276,Maradi Airport,MFQ,13.5024995803833,7.1267499923706055
277,Diori Hamani International Airport,NIM,13.4815,2.18361
278,Tahoua Airport,THZ,14.875699996948242,5.265359878540039
279,Mano Dayak International Airport,AJY,16.965999603271484,8.000109672546388
280,Dirkou Airport,\N,18.968700408935547,12.86870002746582
281,Diffa Airport,\N,13.372900009155273,12.626700401306152
282,Zinder Airport,ZND,13.779000282287598,8.983759880065918
283,Monastir Habib Bourguiba International Airport,MIR,35.75809860229492,10.75469970703125
284,Tunis Carthage International Airport,TUN,36.85100173950195,10.22719955444336
285,Sidi Ahmed Air Base,\N,37.245398,9.79145
286,Remada Air Base,\N,32.306198120117195,10.382100105285645
287,Gafsa Ksar International Airport,GAF,34.42200088500977,8.822500228881836
288,Gabès Matmata International Airport,GAE,33.87689971923828,10.103300094604492
289,Borj El Amri Airport,\N,36.72129821777344,9.94314956665039
290,Djerba Zarzis International Airport,DJE,33.875,10.775500297546387
291,El Borma Airport,EBM,31.70429992675781,9.254619598388672
292,Sfax Thyna International Airport,SFA,34.71799850463867,10.690999984741213
293,Tozeur Nefta International Airport,TOE,33.939701080322266,8.110560417175293
294,Niamtougou International Airport,LRL,9.767330169677734,1.0912499427795408
295,Lomé-Tokoin Airport,LFW,6.165609836578369,1.2545100450515747
296,Antwerp International Airport (Deurne),ANR,51.189399719200004,4.46027994156
297,Beauvechain Air Base,\N,50.75859832763672,4.768330097198486
298,Kleine Brogel Air Base,\N,51.168301,5.47
